siret,enseigne1Etablissement,codePostalEtablissement
38749053500029,PHNOM PENH,33310
38749255600031,LA PLAGE,56750
38749310900053,LE SNACK DU LAC,66320
38752773200045,AKTAS KEBAB,73000
38753722800042,U FORNU,20145
38753722800059,U FORNU,20270
38754200400024,SNACK BAR CELIMENE,97422
38755052800062,YOYO PIZZA,33480
38756326500066,CITY BAGEL',69002
38759160500051,COULEUR CAFE,17440
38759788300025,LA TOUR DE PIZZA,03230
38760274100036,LE SILENCIEUX,97118
38761300300012,RED'S,51100
38762333300037,CHEZ COCO & CO,30240
38762623700045,CHEZ SAMY,26110
38762976900028,BAR DU CAMPING,85160
38763259900032,NOOI,67000
38763799400030,RYAN FAST FOOD,06000
38765542600022,ENTREPRISE PAYET,97432
38766642300026,MC DONALD'S,83400
38768495400036,LA FOURMI ALLEE,75005
38770490100033,PIZZA NICCOLI,45340
38771220100020,SNACK FREDO LE MAKARI,97217
38771361300066,LE PATIO,44210
38771370400022,L'ISBA,73710
38772140000035,LA PIZZA,33800
38774064000017,TUTTI MATIC,31400
38774064000207,TUTTI PIZZA,31140
38774064000215,TUTTI PIZZA,31140
38774064000256,TUTTI PIZZA,31200
38774064000348,TUTTI PIZZA,31150
38774064000363,TUTTI PIZZA,31780
38774642300012,SANDWICHERIE WRAPS SUCRE SALE,14000
38774887400030,KEBAB LAKOUR,97420
38774887400048,KEBAB TI BAZAR,97440
38779461300068,SALON DE THE FAMILIAL,04100
38779600600048,AU PETIT CREUX,83400
38779600600055,L ITALIENNE,83980
38780392700061,LE CROQUE LUTIN,11330
38781424700020,PIZZA MILIO,62219
38781547500034,ANAMUR,77100
38781792700057,PIZZA PAPO,97490
38783099500065,LES 3 CHEMINEES,66540
38783330400026,LA PIA,26420
38783684400051,CROQU'MEME,42600
38784903700404,DEL ARTE,35000
38785221300017,PIZZA ROMA,56190
38786750000051,LA BRETONNE,22000
38787995000039,O REGAL DE SAVENAY,44260
38788638500062,LA PIZZA GAULOISE,31290
38788705200026,AU CH'TI VENDEEN,85110
38789003100033,CHEZ MICHEL,34270
38789653300024,L'HIPPOCAMPE,89190
38789809100039,FRENCH COFFEE SHOP,33000
38791099500050,LES PIEDS DANS LA MANCHE,22610
38791122500028,MC DONALD S,13127
38791656200078,GRIGNOTERIE,76100
38791656200094,GRIGNOTERIE,76800
38791681000063,SAPORE DI MARE,06400
38792008500108,LE PERTINAX,06000
38793108200060,AU FLAM'S DE L'OUEST,56130
38793597600036,CHEZ SANDRINE,20238
38793841800028,LA MALINE,17730
38793841800036,LA MALINE,17730
38794058800024,CHEZ CHEIK ANTA,97410
38794107300042,VIVONS BIO LE 244,35136
38795138700035,SNACK CHEZ SULY,57070
38795207000028,PIZZA'RAPIDO,25460
38795236900024,SANDWICHERIE DU MEDOC,33000
38797242500012,LA CREPERIE DU CHATEAU,12150
38797372000023,EDELWEISS,65100
38797601200055,AU BON COIN,05100
38797926300069,MOSSER PATRICK CUISINIER,74600
38798429700011,GLACES CATALANES,34250
38798811600068,JOSEREN LABEA,64500
38799487400049,L'ECHOPPE,36000
38799882600011,OSTERIA DI U CASTELLU,20250
38802669200052,L 'EXPRESS GOURMAND,97450
38802784900057,L'ETAPE,41500
38803949700028,ROTISSERIE LE SOT L'Y LAISSE,30330
38804551000012,LA CROISSANTERIE,31120
38804551000020,LE TOULOUSAIN,31120
38805198900084,L'IMPREVU,24120
38805224300044,SIVANA CAFE,75011
38807828900021,SNACK CAR GO,04310
38807828900039,SNACK CAR GO,04160
38808927800039,AU P'TIT CREUX,50200
38809005200035,L'ABRI DES FLOTS,35350
38809492200027,LA FRINGALE,02300
38809634900062,PLANET PIZZA,24100
38810454900026,PIZZERIA DU VILLAGE,11200
38811055300012,L'ESTIVAL,12100
38811055300038,L'ESTIVAL,12100
38811112200056,KOT ALOY,07140
38811583400029,OMAHA PIZZA,14710
38811662600077,BRUNORO PIZZA,97417
38811715200024,MC DONALD S,13014
38812347300026,MCDONALD'S,78310
38812509800045,A CROCS PIZZA,31100
38812509800052,A CROCS PIZZA,31500
38813383700038,LA MOULINE,24140
38814046900023,"LA GARE DES SAVEURS, RESTAURATION RAPIDE.",07310
38814332300029,L'ARIA MARINA,20137
38814954400057,PEDRO,73000
38815352000084,LA CAFET',33300
38815369400053,LE BON DORE,66470
38817271000062,MARCO,34300
38818294100038,CUISINE SUR LE POUCE,67400
38818494700033,TANDOORI,34000
38818494700058,ALIF TANDOORI,34000
38818619900039,NEW SNACK OCEAN,97200
38822164000039,LA PETITE FONTAINE,06590
38823121900055,SERVIOLE JOACHIM SANDWICHERIE,11100
38823136700029,PIZZA PLUS,59400
38824745400027,GOURMANDISE,95110
38824975700039,LE DELIT CIEUX,06600
38825092000039,CROQUE MIDI,97400
38825092000054,WIKI SNACK,97600
38825221500040,CLASS'CROUTE,54500
38825221500057,CLASS'CROUTE,54520
38825705700033,MACAN BAR,13220
38826990400057,VALENTIN,35000
38826990400073,VALENTIN,35000
38826990400107,VALENTIN,35000
38827054800042,L'HEURE EXQUISE,03000
38828503300048,PIZZA GINO,97112
38828503300055,LIMONCELLO CHEZ GINO,32600
38828573600020,PETITS PLAISIRS DU MIDI,34700
38831087200030,CHEZ FATI,34300
38831758800035,LA GINGUETTE,23700
38832101000067,SNACK MELI KEBAB,34370
38833923600084,LE CORTO,40510
38835535600022,ORIGINAL PIZZA,09100
38837455500026,A PISCIA,20170
38837568500012,COTE PISCINE,66700
38838189900029,SNACK L'OISEAU,97420
38841384100015,VALFRUITS,13011
38841649700039,AU TOUR DU PAIN,67200
38842097800032,CHOUQUETT STAR,95400
38843390600038,LE PAILLE EN QUEUE,64110
38844074500015,LE SNACK MAUSSANAIS,13520
38844277400021,AU CAVEAU GOURMAND,84230
38844471300035,KEBAB LE BOSPHORE,74240
38844681700024,LE ROMARIN,06400
38845609700046,U FUCONE,20620
38845772300046,BAMBINO PIZZ',33110
38847144300027,P.A. EMPORTER,68740
38847348000027,TI CASE VICTORINE,97438
38848534400039,LE PACHA D'ISTAMBUL,01200
38848797700026,FAYM,83000
38850512500053,PIZZA DO MI SOL A EMPORTER,88000
38850934100045,BUVETTE DE LA PLAGE,74400
38852766500037,L'ALEXANDRA,31400
38852893700013,BABAU'S CAFE,66600
38857667000045,PIZZA L'OCEAN,97440
38858831100042,PIZZA VEGAS,88650
38858929300033,L'ORIENTAL,13110
38860550300027,LA CHARCUTERIE DES CHARTREUX,76890
38862516200044,SNACK BAR PALISSADE,97450
38862525300025,LE FOOD-TRUCK,22230
38863585600023,LE RAFFINE SNACK,97220
38864894100077,CANDIDEMENT BON,97434
38864905500042,LA FRITE DU CH TI,62300
38865162200036,LE KEBS,55200
38865349500050,LE NEPTUNE,64600
38867168700050,LE SUCRE GLACE,34450
38869512400023,PIZZAS JOJO,12510
38870185600022,LOGELFLAMM,68124
38870987500040,LE SNACK BERBERE,44300
38871234100030,L IMPREVU,83136
38873861900054,URBAN FOODING,92600
38874544000023,LEADER-PIZZ,97419
38874544000031,LE P TIT COMBAVA,97419
38875084600049,ALLO PIZZA,01150
38875628000011,SAND'CHAUD,83500
38876497900059,CASA CHICHIS,85100
38877022400037,CHEZ NANOU,69100
38878893700059,PIZZA FRANCINE,85300
38878970300021,COTLAND GRILL,42120
38881375000022,LA CUISINE DE MANOU,97430
38883607400020,MARMARA KEBAB,08000
38883877300025,RESTAURANT DES BLIMOUSES,83830
38885148700040,PIZZA EAT,75020
38886849900970,LA BELLE ILOISE,75002
38887690600040,ROBERTO PIZZA,84110
38887840700062,AU FIL DE L EAU,61700
38888748100066,PIZZA GOURMANDE,64480
38888820800054,LE RENATO,62155
38889346300025,L'ARBRE A THE,38000
38889910600032,CROQ'EN PATES,07200
38890080500069,ORIENT'EXPRESS,17500
38892359100027,RAPID LUNCH,50170
38892359100035,RAPID LUNCH,50170
38892659400028,DONATELLO,41800
38893245100015,CAFE DE FRANCE,97110
38893621300049,LE BIOBUFFET DE L'AGENAIS,47370
38895363000042,SERGIO PIZZA,30380
38897933800067,PIZZA TONY,30820
38902381300030,MITCH,13400
38902952100041,LA PERCEE,69560
38902960400045,AU GOUT DU JOUR,62200
38905520300035,HOTEL DU COMMERCE,89270
38907323000036,LES MIGNONS,06160
38907620900045,AU VIEUX FOUR A BOIS,38460
38908327000022,BIG POTATO,13100
38908348600024,DOLCE PIZZA,13006
38908348600057,STORIA PIZZA,13011
38909254500042,ORANGE MECANIC,97400
38911798700021,CAFE VERY,75001
38913043600055,LA POISSONNERIE,40100
38913859500027,AUX MILLE PATES,11300
38914542600018,BAGUET SHOP,97232
38914820600029,SISSI GOURMETT',69004
38916005200012,VANILLE-MURE,33220
38916220700036,U SPUNTINU,20170
38918797200051,IONICA,71380
38918797200077,PIZZA SERAPHIN,71700
38918797200085,PIZZA BELL' ITALIA,71530
38919367300040,LE BAMBOU SNACK,57440
38920657400037,LA BONNE BRIOCHE,85800
38923192900131,SUDISSIMA,33110
38923199400028,LE BUG,66470
38923516900031,MEKONG,75010
38925324600026,PANZI PIZZA,94230
38925900300033,SNACK BAR CHEZ LALA,97490
38925974800041,SNACK GOYETCHEA,64310
38926096900016,LE RELAIS,56620
38926601600028,SALLE DE JEUX DU PACIFIC,47500
38926778200024,L'ESTAMPILLE,66130
38926856600038,LES 7 COMETES,11100
38927376400032,LA TABLE DE JOSY,20290
38927617100037,SAPNA,01200
38928308600020,FAST FOOD,97200
38928329200024,LE PREMIER,26200
38928929900031,AU PORT GOURMAND,34110
38931177000033,LA GUINGUETTE DE LUNAY,41360
38932409600053,LA ROULOTTE A PIZZ,59310
38932656200029,PIZZAS A EMPORTER LE DUO,06530
38932785900028,VAITERE O TAHITI,83200
38933285900021,LE MARRAKCHI,31800
38933415200029,FRAMBOISE,38750
38936241900050,UNE FAIM DE LOUP,44190
38939252300020,LA CROISSANTERIE,97460
38939252300038,LA CROISSANTERIE,97438
38939252300046,LA CROISSANTERIE,97410
38939252300053,LA CROISSANTERIE,97400
38939252300079,LA CROISSANTERIE,97470
38939252300087,LA CROISSANTERIE,97420
38939252300095,LA CROISSANTERIE,97440
38939252300103,LA CROISSANTERIE,97410
38939252300111,LA CROISSANTERIE,97400
38942228800016,MC DONALD'S,76600
38942590100037,LE TEMPO,30100
38942590100045,LA GALETTE,30360
38944019900047,LA PIZZA DI NAPOLI,69800
38944019900054,LA PIZZA DOLCE VITA,94140
38946975000043,GLA'ICEBERGUE,97139
38948976600045,BAR A SALADES DE LA SOURCE,97400
38949482400045,PIZZA ROLL',01200
38950333500033,INCH'ALLAH,66000
38950333500041,INCH'ALLAH,66000
38950886200031,MAC DONALD'S,60000
38951183300029,LA PIZZA AU FEU DE BOIS,47400
38954849600022,A STELLA,20260
38955342100048,LA GARRIGUETTE DE L'OASIS,07200
38955510300032,ALIBABA,77173
38956507800042,LA GUINGUETTE BELLA RIVA,24100
38957719800036,CHEZ JAMES,02470
38959676800058,LE FOUR A PIZZA,59920
38960041200032,AUX PETITS OIGNONS,31310
38960509800059,LA BIACHETTE,03630
38961520400028,BATON ROUGE,69800
38961598000023,KFC,73000
38961907300049,LA BOLINETTE,66260
38962785200053,PIZZA SENO,97424
38962785200061,ARSENO,97434
38966585200023,LE LIBERTE,13400
38970149100026,MC DONALD'S SAINTE BARBE,13001
38970159000025,MC DONALD S LA VALENTINE,13011
38970168100022,MC DONALD S,13006
38970197000029,MC DONALD'S,13005
38973394000081,TIP TOP,42100
38974644700033,PIZZA CHOUCHOU,31000
38978938900035,LA PAUSE GOURMANDE,44000
38980932800039,LES DELICES SAINTAIS,17100
38982192700024,DE GUS STATION,06950
38984715300035,SUDISSIMA,33140
38984715300043,SUDISSIMA,33200
38984715300050,SUDISSIMA,33600
38984715300076,SUDISSIMA,33000
38985996800015,O'TACOS MONTARGIS,45200
38986333300040,SNACK DE L OLIVIER,83190
38986603900024,AU CHOCOLAT'THE,22800
38988259800045,MOGADOR,13310
38990210700033,SNACK BAR MAGUY-ANNE,97400
38990574600050,CHEZ PEPONE,74330
38990881500019,LE PETIT PAYSAN,38250
38992724500024,ROTISSERIE CENEENNE,85710
38994361400013,LA MADRAS,97119
38995659000068,SUNISA,69170
38996830600032,BURGER PIZZ,17100
38997893300023,PIZZA A CASA,85000
38997893300031,PIZZ'A CASA,79000
38998052500049,CAPRICE ET GOURMANDISES,97600
38998113500053,YAKAMOZ,03150
38998683700034,CHEZ COCO,97121
38998742100010,LA LIVOURNAISE,26420
38998992200023,PAUSE SANDWICH DES DUCS,73000
39003269600028,LA BUVETTE DES CRIQUES,74190
39003636600024,LA GALETTTE D'ANTAN,29250
39005275100026,L'OLIVIER,97400
39005461700035,ISTAMBUL KEBAB,61600
39005867500054,LA GALERIE DES GLACES,03200
39006260200052,CIMIEZ PIZZA,06100
39006550600029,AU PETIT GOURMAND,34920
39011027800012,AMERICAN CHINATOWN,94200
39011027800020,AMERICAN CHINATOWN,75015
39012088900014,PIZ-MAC,67130
39012225700038,PIZZA DEL MUNDO,44119
39012225700046,PIZZA DEL MUNDO,44370
39012225700053,D3 PIZZ',44810
39012442800066,BURGER & FRIES,92100
39012919500058,LES DELICES DE LA RAVINE,97432
39013096100050,LA PAILLOTTE,52800
39014157000023,FORUM SNACK,07120
39015252800027,TRADI FRITES,59174
39018048700055,LE TWINS,07800
39018689800032,BAR SNACK LA TAVERNE DU SQUARE,08200
39018730000020,LE KAFFIER,33610
39018979300032,PIZZA BELLA,22290
39019916400059,CITY GRILL,67114
39022503500034,GUSTAVE TRAITEUR,44700
39022858300089,NARAY 974,97430
39022858300097,LE COIN DES GRILLADES,97430
39022892200022,CHEZ YVI L'ALSACE ET LE JURA GOURMA,35000
39023063900051,FRITERIE MJC,59230
39023255100023,A ROTTA,20256
39024480400055,POMME D'API,74500
39026200400034,LA CUISINE AU WOK EN TOUK-TOUK,44240
39026200400042,LA CUISINE AU WOK EN TOUK-TOUK,44130
39026231900036,EFES KEBAB,03000
39026836500074,BB S,40100
39026836500082,MG'S,64700
39028463600037,PLANETE MAGREB,59150
39028463600045,PLANETE MAGREB,97410
39028463600052,TROPIC CHICKEN,97432
39028463600060,KF CHICKEN,97410
39029504600028,CHEZ DENIS,60250
39030331100026,CREPES ET CIE,25560
39031490400041,PIZZAS GISOU,12390
39031756800025,CAP'TAIN BEIGNET,97180
39031756800041,PETITE DOUCEUR,97110
39032763300033,LOU BURGER,07460
39033108000031,LA BONNE FRANQUETTE,30380
39034751600044,J'SUIS J' REST,13010
39035500600052,GELATERIA ITALIANA MASINI,30126
39037060900013,MAMIE TARTIF,73620
39039644800040,NATALIE COOKING,07140
39039799000040,LE CANNIBALE,66700
39043350600032,LE COCONUTS,97118
39043350600040,LE COCONUT'S,34810
39047211600040,BT,17430
39047792500023,MIMI LA FRITE,14100
39047792500049,L'OASIS,14150
39047942600020,OH GEO,81000
39049456500026,SNACK LA FAMILLE,97420
39050600400071,LES MOUETTES,34350
39050652500026,MIDI CROQ,92300
39052395900042,LES DELICES DE JO,97122
39052921200032,PIZZA EXTRA,05310
39053426100024,LE PIVERT,19190
39053513600027,FOOD CARAVANE VINTAGE,17290
39054065600092,LE TRAM,21000
39055303000052,O' TETE A TETE,06370
39055303000060,O TETE A TETE,06370
39056356700028,LA ROMILLA,35850
39056362500032,LA PIZZZ DU MOULIN,69008
39056536400036,PIZZAS DE LA GRANGE,64370
39056603200020,PIZZAS CLEMENT,06200
39057167700025,BUVETTE DE CHARPIGNAT,73370
39057167700041,PAIN VANOISE & GOURMANDISES,73710
39057482000010,LE PROVENCAL,48000
39060501200017,PIZZA FREDO,36260
39061465900022,SUR LE POUCE,64170
39061933600030,CHICKEN PIZZ,70400
39061933600048,HOME RUN PIZZA,70200
39063309700022,KIOSQUE A PIZZAS,85300
39063309700048,KIOSQUE A PIZZAS,85300
39063639700049,POULET GALITO,09210
39065314500065,TARTAKRISS - KB BROCANTE,30140
39065833400011,AU SWITCHEUR,24000
39067088300052,DON JOSE,69100
39067393700087,SNACK FAIM DE LOUIS,83500
39068721800011,LA MUSE BOUCHE,78310
39069057600058,TOP PECHE,97420
39069170700066,RESTAURANT CHEZ LES CHT'I,26700
39069440400026,AU PLAISIR GOURMAND,62600
39069933800047,LA TOUR VIENNOISE,20137
39070092000064,EDEN BAR,83240
39071371700028,LO PTIT YAB,68260
39072560400032,AUX DELICES DU VIETNAM,85350
39074601400047,LE MARRAKECH,47000
39074601400054,LE SOLE.X,47000
39074888700069,PILI'PIZZ,56890
39075470300051,PHO VIET NAM,38000
39076570900030,L'AVENTURE,31230
39076941200037,MY PIZZA,67240
39076941200045,MAY PIZZA'S,67500
39077897500115,REPLAY,75002
39078235700037,CAMERA CAFFE,06130
39078861000041,PIZZA PAULO,01700
39079400600028,LA DATCHA DES ARTS,14800
39080120700031,SUCRE-SALE,85330
39081182600069,LE PADDY'S,85460
39081702100020,A LA BONNE GALETTE,44110
39082457100025,REGALO CHAUD,06300
39082610500020,IMPERIAL KEBAB,74130
39082752500044,LA TERRASSE,34250
39082927300031,TRAPANI BOTTEGA,75008
39083067700022,AU ROYAL KEBAB,12100
39083398600065,PASTASCIUTTA,59800
39085406500039,LA BOITE A PIZZAS,59500
39087442800050,DU TERROIR AU BIKINI,66750
39088902000025,LA PAUSE,57500
39089508400080,NOSTALGIE D'ANTAN,32230
39090495100022,PIZZAS A EMPORTER L ORIGAN,69220
39091219400078,PIZZA +,42600
39092297900013,PARAD'ICE,66190
39092297900021,L'ESPARTINETTE-GELATERIA,66190
39092297900039,L'ESPARTINETTE,66190
39092297900054,PARAD'ICE,66190
39092501400032,SANTA MARIA,11430
39093604500025,PIZZA MARCO,76770
39093962700027,LE SADI CARNOT SERVICE,26000
39093962700035,IMPERIAL FOOD,26500
39094057500025,LE ROSMEUR,29100
39096090400048,CHEZ TIMAL,40220
39096226400037,L'AS DE PIZZ',73000
39099088500035,CHEZ PALOU,30800
39101228300035,TYTANKA,92800
39101239000079,LE PHENIX VICTOIRE,33000
39101455200031,BRASSERIE DES BATELIERS,70100
39103974000033,KTCHIOK,97490
39104017700043,PP SALEES,47390
39105565400027,MIJO CREPES,83990
39106127200020,LA MAISON DES GRILLADES,42100
39106274200021,LA PLAGE,83690
39106274200039,LA FAMIGLIA,83830
39106274200047,LA FAMIGLIA,83780
39107293100085,L'OLIVERAIE,41100
39107805200027,BIVOUAC LE MAVOULA,06400
39108444900043,LE GLACIER DE BRANTOME,24310
39108444900068,LES GLACES DE LASCAUX,24290
39108444900076,SAS GOURMANDISES,24000
39108714500036,DOLCE VITA,12000
39109873800050,LA TONKINOISE,65100
39110134200023,SNACK CHEZ GEGEOU,04260
39110744800022,LE PETIT CAFE,33590
39110744800030,LE PETIT CAFE,33590
39111650600042,PIZZA 7,26600
39112423700036,LE PANIER DU MONDE,33250
39112857600033,LA MAMA,69006
39113008500015,KIOSQUE MARYLINE,06400
39113484800038,PAELLA BARBERA,97436
39114219700030,PIZZA MARCO,57790
39114219700048,PIZZA MARCO,57810
39114692500048,LA PETITE FRINGALE,37000
39116052000030,RESTOROUTE LILI,97216
39116707900022,LES GOURMANDISES DE VALERIE,47000
39116745900026,GOUT ET TRADITION,27250
39116746700029,FREDDY'S PIZZ,45160
39119111100031,PIZZAS BURGERS,14160
39119477600012,DOM'BURGER,85110
39120017700049,PIZZA PLANET,35370
39120035900019,BAR DE LA PLAGE,61600
39120143100015,LE SUD FOOD,75013
39120277700036,AUTHENTIC,54800
39120425200012,AU PETIT CREUX,88650
39120688500025,TRAITEUR CHEZ KIM,33200
39121868200022,SAVEURS ET TRADITION,24610
39122063900044,PIZZA KIKI DJINO,32110
39122166000023,L'ARENE DES PIZZAS,30600
39122409400048,LA CORNICHE,76000
39122416900030,LA FRAMBOISINE,89200
39122512500049,CHEZ MIMI,34130
39122530700027,LE LOTUS D'ASIE,42450
39122712100046,CI SIMU,20200
39122712100053,CI SIMU,20200
39122935800042,PIZZA ETNA,97435
39123047100040,LE CAMION,37380
39123981100022,PIZZERIA PALAULIA,19000
39125870400025,PIZZAS BUS,20213
39126040300046,LE CHAMBOURGUET,63610
39126295300022,FRITERIE PAO,62121
39126722600051,SNACK LA CADIERE,13170
39126960200028,CROQ ET PIZ,88480
39127219200025,LA PAUSE GOURMANDE,17000
39128098900040,SALON DE BRUXELLES,59800
39128301700013,FAVIER TRAITEUR,14000
39128502000049,SNACK CLUB,42410
39129102800010,LA BISTOURE,30250
39129102800028,LE PETIT BOURGUET,30250
39129689400036,TUTTI PIZZA,54510
39130062100037,CHEZ GINO,83400
39131384800049,FRITERIE DE LA PLACE,62100
39132191600036,L'EPI DES BLES D'OR,17000
39133469500023,LA TARTINERIE,16000
39136172200062,PIZZA TONY,49000
39136172200070,PIZZA TONY,49000
39136557400048,SNACK LE CALIFORNIA,13090
39137638100052,LA PAILLOTTE,34550
39137823901082,STARBUCKS COFFEE,13140
39137823901108,STARBUCKS COFFEE,10150
39137823901116,STARBUCKS COFFEE,77700
39137823901124,STARBUCKS COFFEE,38090
39137823901140,STARBUCKS COFFEE,77700
39137823901157,THE BURGER FEDERATION,13140
39137823901165,BISTROT PROVENCE VILLAGE DE LA PERONNE,13140
39138307200025,MC DONALD'S,30000
39138580400029,AU FOUR A BOIS,13310
39140179100028,COUSCOUS A LA SAVEUR DU PAYS,61300
39141271500032,LE COMPTOIR D'AUGUSTIN,66000
39141279800020,CASA SUBITO,02100
39141720100020,SUBITO PIZZA,94460
39142845500029,LE SANDWICH CENTRAL,46200
39142857000033,CUARTO PIZZA,33400
39143513800022,SOLENA PIZZA SNACK,33450
39143684700027,SNACK BAR GERVAIS,97420
39143749800036,PAUS'SALEE,13006
39144066600058,LE CAPRICIO,24380
39144164900038,L'ILE AUX PIZZAS,54230
39144237300026,BEACH BREAK SURF SHOP,33970
39144400700051,PINK BANANA,64700
39146563000021,SANDWICHERIE LE ROOTS 86,07340
39147213100039,LE KIOSQUE,11370
39148289000038,BEARN GASTRONOMIE,64400
39148984600033,COQUILLAGES FOSSEENS,13270
39150173100031,PIMENT ROUGE,97400
39150464400033,L'ECLIPSE,30120
39151614300065,GLACE CROIX D'OR,73000
39151891700029,PIZZAS DES ALPES,04200
39151907100057,AU COIN CHAUD,65240
39152540900101,CHEZ MAXENCE,17640
39153516800051,RETICELLA,67000
39153920200039,LA GARRIGUETTE,34800
39154014300057,DLI'S'NACK,17100
39155065400068,PIZZA PLUS,97410
39155200700034,SNACK PIZZA LES RICHARDS,05800
39155450800021,LA BONBONNIERE,39220
39155933300029,PIZZA SAINT MARC,29200
39157879600032,LE GERANIUM,97423
39158331700030,PIZZALEX,07460
39158845600023,CHEZ CATHY,66750
39159153400022,AUX PLAISIRS DES TOURMENTS,97100
39159573300067,L ILOT FEMME,83980
39160005300030,LA PERLE DU MAROC,30110
39160424600028,CHEZ THOMAS,25300
39161531700040,LA TABLE DE FERREOL,63660
39161531700057,SNACK,83250
39162267700022,GRAIN DE SUCRE,74140
39163050600023,SNACK DU DOMAINE DE LONGEMER,88400
39164829200046,SNACK DU CAMPING LE DOLIUM,30290
39166310100072,FREQUENCE NUIT,50430
39166803500051,L'ECLIPSE HYGIAFORM,68740
39166986800047,ROTISSERIE DES TEMPLIERS,83700
39167436300067,TOMATO PIZZA,97118
39168140000019,LE DUPLEX,20090
39168571600030,SNACK,09400
39169228200034,CROCKINEL,61400
39169228200042,J'AIME LA GALETTE,61380
39170205700020,PIZZA BILL,24100
39170919300075,LA CABANE,33950
39172260000023,AU FOUR A BOIS,50110
39173528900038,AH PINOCCHIO,89300
39173875400012,VERODAN,17310
39173875400038,VERODAN,17190
39174830800049,FRED PIZZA,04510
39175730900029,BISTRO PLAGE,44740
39175817400026,ATLAS,45400
39175864600064,QUALITY BREIZH,56610
39176611000020,A PIZZA,20110
39177801600025,FOURNIL PAIN,69008
39177962600020,BRASSERIE DE LA PLACE,26300
39177985700039,LA PIZZA DU SUD,44210
39178475800024,SNACK LA CIGALE,83270
39179274400057,MAMA ROSA,80700
39179721400023,LE WICH,20600
39179761000048,PASTA NOMADE,05310
39181416700022,LE SALIGEDU,18000
39183488400036,SQUADRA,83220
39183584000037,MARIE EN FAIM!,74230
39183915600026,L'OISELET,38300
39183961000030,AU PETIT RELAIS,34000
39184486700013,U PARADU,20228
39184488300051,LA CALZONNE,71300
39185112800069,LE COMPTOIR DE LA PIZZ,07100
39186741300026,GOOD SUSHI,44000
39187483100038,LE CASS'DALLE,11370
39187835200023,RAPIDO PIZZA - LA VILLA,28400
39188123200055,SERVICE RAPIDE,50200
39188123200089,CHEZ DAVID,50000
39188123200105,CHEZ DAVID,50160
39188229700040,CHEZ AMELIE,97430
39188758500027,THIERRY PAELLA,13002
39188826000026,PIZZA L'ITALIA,31110
39189273400024,SNACK GUR 2,59200
39189413600038,PUNTO PIZZA,83130
39189757600024,CHEZ CHRIS,83630
39190023000023,CHEZ PERLE,17570
39191069200022,LE LUTIN GOURMAND,85460
39191125200032,OCEA PIZZ,56680
39191451200028,RESTAURANT COMME A LA MAISON,81100
39192026100024,LE CHANT DU COQ,10300
39192370300048,LE TYTY,97100
39192530200062,BAR BLOO,97430
39193400700033,POM'FRITES,62170
39193744800051,CHEZ CLAUDETTE,47000
39193991500024,L'ORIENT EXPRESS,62100
39194398200069,PIZZA DI MARCO,12390
39194549000046,PRONTO PIZZA ANGELA,66140
39195109200124,LE FOURNIL DE FRANCE,93100
39195109200132,LE FOURNIL DE PARIS,93500
39195465800020,LE PARADIS VERT STAR VIDEO LA FINE,36500
39196010100023,FOOD AVENUE,97427
39196882300057,PIZZA VALENTIN,46600
39197233800027,L'AGACHON,13360
39198402800046,LA CASE DODO,72000
39198875500024,FRANCKY PIZZA,28410
39198875500032,FRANCKY PIZZA,27650
39199118900054,ENTRE PARENTHESES,66300
39199684000032,LES TERROIRS DU PAYS LORRAIN,57510
39200345500012,PANE OTT',20137
39202185300024,LES VENTS DU MIDI,42100
39202185300032,LA MAIN A LA PATE,42220
39202419600033,CASE A PIZZA,38380
39202711600038,GAETAN ET CHANTAL PAUL,62196
39203064900033,ENTREPRISE TROPIC SONO,21000
39204469900016,MC DONALD'S,95200
39206921700025,SALON DE THE SNACK LE PALMIER,34500
39208510600038,LA TOUR DE PIZZ,07150
39208921500025,FRAIS CHAUD,44000
39209284700038,AU PTIT'VIET,29100
39209540200013,LA BAGUETTE MAGIQUE TROJETTE ET,75017
39209727500029,CAFE DE LA PLACE,20150
39210010300028,L'OASIS,97211
39210010300036,SWEET CAFE,97211
39212685000024,CAMION PIZZ,22470
39212685000032,CAMION PIZZ,22140
39213879800047,LA TABLE DU JARDIN DES ABEILLES,58110
39214276600022,LE NAUTIC,35470
39214881300083,DELICES D'ORIENT,20090
39215016500026,KIOSQUE GAMBETTA,06400
39215392000054,SNACK L'AUTRE COTE,97435
39215736800029,JP GRILLADE,93150
39217747300023,CAFETERIA,50120
39218140000038,RESTAURANT OH GEO,81000
39220444200033,LES PIZZAS ET GALETTES DU SAGITTAIR,63160
39221098500041,O PLAISIR,97460
39221320300046,LA SIESTA,40600
39221320300053,LA PAILLOTTE DE SEGOSA,40200
39223649300020,CHEZ CADER / SAMOUSSAS DE LA PLAGE,97410
39223671700030,CREPERIE HORTENSE,97432
39223671700048,CREPERIE HORTENSE,97430
39224115400021,KEBAB DALEAU,97419
39224653400086,LE REFUGE GOURMAND,05600
39224988400058,GLACIER ICE CLUB,20166
39225394400020,VARGO,69003
39228037600014,ASIA ET GRILL LA PLANCH'A RESTAURANT,57800
39228323000051,PLANET'PIZZ,17300
39228431100033,QUAI 971,17780
39228669600019,TI CAZE CREOLE,06700
39229677800021,PANOY,71260
39230130500026,SPRING FOOD,17110
39230263400051,FOOD&DRINKS,92100
39230263400069,THE FISH AND FROG,95420
