siret,enseigne1Etablissement,codePostalEtablissement
30863578800067,LA CREPERIE COMMERCIALE,83980
30896173900015,BERT'S,75008
30896173900031,BERT'S MATHURINS,75008
30896173900056,BERT'S PONTHIEU,75008
30896173900064,BERT'S LA VALLEE,77700
30896173900072,BERT'S MOGADOR,75009
30896173900098,BERT'S GRANDS BOULEVARDS,75009
30896173900106,BERT'S,91600
30896173900122,BERT'S,75002
30896381800064,LE PALAIS DES DELICES,75015
30896824700079,CASA ITALIANA,44400
30903693700014,LES THES D'EMMA,22380
30905933500021,LES SAVEURS DES DUNES,75018
30910857900033,BECASSINE,35400
30911866900022,L ENCAS,40150
30912093900041,PAILLOTE U LUSTINCONE,20130
30916295600028,CHARCUTERIE DE LACAUNE ISABELLE ET,34500
30918681500044,PASTA REGAL,43500
30928770400048,BAD'S,97110
30931785700089,PIZZA RIVA BELLA,66000
30931785700097,LA LOGGIA,66000
30936738100048,LA RAVIERE,74170
30946395800095,LES DOUCEURS DE MARGUERITE,20230
30952328000118,MAISON DE LA GALETTE,29940
30954889900082,DEPANN'PIZZ,76940
30956339300060,PIZZERIA DES PLATANES,73250
30956466400048,TOP PIZZA,80500
30961137400054,LE CROQ'O PAIN,69003
30961137400062,LA POULE A BOB,69200
30965688200011,LA DILIGENCE,73170
30967370500021,JADIS ET GOURMANDISES,42820
30968958600027,LA PAUSE S'IMPOSE,97432
30969737300046,CHEZ JACKY,31830
30976665700089,L'IGLOO,74200
30976665700097,LA TABLE A PIZZ',74200
30981594200029,SANDWICHERIE DES BAUX,13520
30981594200037,L'OUSTAU DE THERESE,13520
30981866400026,VILLA PIZZA,85460
30989223000512,BRIOCHE-DOREE CAFE,75015
30992568300091,LA TARTINETTE,35800
31002861800042,LE QUAI,30240
31003945800024,BAR DE L'INTER,30540
31005980300059,CHEZ CHARLY,30450
31010266000035,LE GOURP DE LA LOUTRE,81200
31011633000054,O'LOCAL,01500
31011636300048,LE RECIF,40200
31015855500022,AU P'TIT ENCAS,64500
31016138500318,LA CROISSANTERIE,80000
31016138500334,C'EST DU PAIN,77700
31017429700013,MY LITTLE WARUNG - MLW,69002
31020218900059,CHATEAU DES BRUYERES,30130
31028475700047,LE BAMBOU,50610
31029982100028,L'INSTANT GOURMAND,82140
31029982100051,LOUISE,82140
31047431700099,LE TILOULOU,06130
31051601800077,HOLLYWOOD PIZZA,66140
31058358800028,PRONTO PIZZAS,07150
31064458800025,A+,20200
31064458800033,SIMPL'CHIC,20200
31066123600052,LE KIOSQUE,85680
31072892800030,MAISON MARTEAU,77600
31076610000021,LA BRIOCHE GOURMANDE,24000
31082161600045,CLUB RAMI,59100
31083667100027,CHEZ AH-KIT,97490
31084568000043,SUR LE POUCE,97410
31088892000033,LA CENTRALE DES COQS,97440
31089160100042,SNACK BAR DU VIEUX CANAL,97422
31089187400037,BAR A QUATRE,97460
31090196200046,EXO GLACES,97460
31090795100035,CHEZ JULIE,97460
31092774400055,TAVOLA D'ITALIA,83210
31096069500024,SAVEUR DU SUD,84400
31096403600076,LE SAINT PIERRE,59117
31097635200057,MONOP'DAILY,75002
31097900000034,AUTRE CHOSE,50100
31101574700042,PIZZA YAYO,66140
31103603200044,LA TERRASSE,60380
31106061000046,JULES ET JULIE,17190
31109218300046,SNACK FOODS RESTAURANT,38510
31111817800046,PERLETTE,31000
31118582100049,PLAGE FUCHSIA,83310
31120906800080,BRASSERIE TI COQ,97440
31120906800098,BRASSERIE TI COQ,97440
31121566900053,SANTA FE,97400
31125140900042,SEPIA SAVEURS,97200
31131910700067,LE PLEIN DES SENS,07520
31133515200030,LE CABANON,81000
31137234600040,BUVETTE DU JARDIN,06410
31137488800122,BAR A EAUX,07340
31171452100045,CHEZ JOSY,13005
31171500700069,SONGE D'ORIENTS,32230
31172981800121,LEU PITAYA,97436
31172981800139,LEU PITAYA,97436
31180706900043,LA CIOCIARA,65200
31181837100099,LA FARIGOULETTE,83330
31185010100040,CHEZ CLARA,60000
31189259000036,LE REFUGE,20122
31197641900052,LA CROISSSANTERIE,75013
31197641900060,LA CROISSANTERIE,92140
31197641900078,LA CROISSANTERIE,75010
31197641900086,LA CROISSANTERIE,78000
31198520400057,MAISON CARAMEL,85800
31199590600022,WITTMANN-BRAND LE RESTO,68100
31201543100058,BAR SNACK CREPERIE GLACIER DE LA MA,26190
31207966800074,GLACIER LOUISE,46500
31207966800082,LE PARADIS DES GLACES,46500
31213334100023,LE GOELAND,85100
31213334100056,DELICE GLACES,85100
31214774700066,DRAKKAR,83700
31216593900066,BIG BANG PIZZA,64110
31230900800042,CHEZ LEON,57560
31232547500068,L AS BURGER,54800
31233089700033,NATURE,13001
31234014400053,KANTEEN CREOL,97110
31237831800058,LE GAULOIS,97419
31238988500038,LA PARENTHESE,97490
31241785000046,LE COIN LORRINOIS,97214
31256861100023,6 MASSENET,06000
31263172400076,GIOTTO PIZZA,34120
31263880200099,LE PANIER GOURMAND,95300
31264261400076,LE LUTIN GIVRE,85460
31273370200095,LA CROISSANTERIE,75017
31273370200111,LA CROISSANTERIE,45000
31273370200129,LA CROISSANTERIE,77127
31273370200145,LA CROISSANTERIE,77127
31275145600046,LE GIMELOIS GOURMAND,19800
31278426700097,KAZ A MANU,77190
31278961300030,LE SABOT DE VENUS,83440
31282754600036,LE TOUT BON SUCRE SALE,57050
31283162100072,LA CANTINA,83000
31283909500063,PIZZERIA ALTITUDE,97115
31285489600023,POINT J,97200
31287012400053,CHEF LA BOUTIQUE,01150
31288455400097,LE CHALET DES ELFS,67220
31292606600027,AU P'TIT GRIS AUCHELLOIS,62260
31295048800071,LE BISTROT DE L'AEROPORT,76620
31296604700051,CAFE LES MATHURINS,44000
31297296100048,RAPIDO BUENO,66000
31300222200021,LA FRINGALE,38240
31300222200047,SANDWICH HOUSE,38000
31300970600026,SUR LE POUCE POUSSE,75015
31302818500020,CHEZ PIERROT,11210
31312075000036,LE CHALET,73620
31312868800071,LES CHALMETTES,05100
31314129300040,LE 15,17450
31317014400056,LE VERSEAU - LE RELAIS DE LA POSTE,05470
31318557100020,CAFE DE LA HALLE,24310
31324698500060,LE PETIT TRAITEUR,83670
31328109900082,LA FAIM DU MONDE,34300
31328109900090,PIZZ'AGATHOISE,34300
31328109900108,AU BEIGNET GOURMAND,34550
31329976000063,LA FLEUR DE LOTUS,97460
31334357600069,LE SOLEIL,42130
31336406900036,LA FONTAINE GOURMANDE,74700
31339792900040,PIZZA ROYALE,97160
31346352300057,PETITE RESTAURATION,33700
31346856300025,LA PIZZETA,75116
31347751500040,THE WHY NOT,33115
31348257200077,LE CANIGOU,66190
31348257200085,LE CANIGOU,66210
31358787500094,ROTISSERIE DE LA PLAGE,66470
31359266900029,COUCOU,20214
31362695400082,CHEZ TINO,09300
31363989000026,SNACK BAR DE LA SOURCE,06250
31368935800031,LE TERMINUS,16000
31372442900052,ASTRO PIZZ,85250
31379249100026,AU RELAIS DU PETIT GOURMAND,02300
31380032800046,CAFE BC BG,13460
31383116600043,LA FLAMBEE D OR,88700
31394194000048,POINT CHAUD DE LESTRADE,97231
31395391100028,PIZZA DU LUBERON,13450
31396597200018,VIVAIO - IL TEATRO - CAFFE TEATRO,75008
31398312400030,CARPE DIEM,05230
31398534300034,SNACK BAR CHEZ DANIEL,97420
31405527800027,LA BRIOCHE DOREE,35000
31408766900060,PIZZA PLUS,40600
31412838000032,LES DELICES DE LOUISE,37000
31418704800041,TOUT CHAUD,59000
31418704800090,TOUT CHAUD,59800
31418704800132,TOUT CHAUD,59200
31418704800157,TOUT CHAUD,59800
31418704800173,TOUT CHAUD,59290
31418704800181,TOUT CHAUD,62000
31418704800199,TOUT CHAUD,80000
31418704800207,TOUT CHAUD,59155
31418704800223,TOUT CHAUD,62800
31418704800231,TOUT CHAUD,59800
31418704800272,TOUT CHAUD,59140
31420329000056,RESTAURATION MB,67800
31421754800077,LE YEM,04260
31423489900032,CHEZ LE CH'TI,30700
31423581300040,U PALAZZU,20100
31427345900045,LA PIZZA,15200
31427539700037,PIZZA D'ULYSSE,11100
31429792000055,LA CORNICHE,81200
31430212600045,LOU PITCHOUN,13990
31430212600052,LA TABLE DU MOULIN,13990
31433704900030,AUX PAINS SURPRISES,57255
31439618500055,ROTISSERIE DES MURIERS,34300
31446150000048,SNACK BAR BD DE BREST,97420
31447351300062,AU FEU DE BOIS - LE 7EME BONHEUR,50320
31448750500021,AU POINT GOURMAND,65170
31454815700010,LA GUINGUETTE DU PLANA,07450
31458828600034,PIZZA DEL SOL,66450
31460676500043,LE SNACK,40100
31465278500036,LE PALAIS DU THE,42300
31466410300038,MON RAYON DE SOLEIL,71470
31466731200040,LE SANDU,22110
31467746900061,KEBAB DE LA GARE,47000
31470217600038,BAR DU PONT NEUF,86100
31472432900086,CASA PIZZA,45230
31478167500082,LE KREOL,22810
31479268000063,LE CHALET ALPIN,05000
31481919400023,SNACK OLYMPIA,97200
31481919400049,SNACK CINE THEATRE,97200
31481919400072,SNACK ELIZE EXPRESS,97200
31481919400080,SNACK ELIZE EXPRESS,97200
31481919400098,SNACK ELIZE EXPRESS,97232
31486197200037,LA BRASSERIE DE LA FONTAINE,13460
31487857000097,COTE TENTATION,37400
31487857000105,COTE PAINS,37100
31494355600022,L EPOQUE,78230
31501024900029,PIZZA FUN,83500
31501909100026,LA GALTOU'Z,35290
31502406700086,LE CHALET RISSOIS,63290
31502506400025,PATE A TOUT,72250
31504983300033,LA PETITE FAIM,31000
31510099000037,L'ATELIER DE LA FONTAINE,46250
31510942100067,LA ROTISSERIE,13330
31511186400049,CHEZ CHRIS,97438
31511252400048,PIZZAS CHEZ MARIE,05600
31514335400035,KFET,97420
31522578900041,CROQ,06500
31522868400041,PATISSERIE LA FEE MELUSINE,86600
31525998600042,MOULIN DE BRAY,35490
31528266500076,L'INSTANT LUNCH,34430
31529813300077,LES DELICES,49170
31531356900057,PIZZA STAN,86200
31532891400033,AUX BERGES DU VIEUX PONT/ AIRSOFT F,97412
31537109600050,CROQ'VITE,44500
31537109600084,SOFT,44500
31539174800029,CHEZ JACO,56000
31542629600028,URVOIS THERESE,85340
31550066000040,AU RENDEZ-VOUS DU SOIR,14530
31551577500049,LA ROTONDE,05160
31552391000067,LE DIXI,25700
31552411600060,VENEZIA PIZZAS,60600
31553224200023,SNACK DU SOLEIL,06300
31558977000025,L'ATELIER DU BURGER FERMIER,62500
31562653100067,LE MARCHAND DE GLACES,83140
31564663800066,FORTIER OCCAS AUTO,70130
31566702200018,BURGER KING,75014
31572752900036,LA COUPURE,33000
31575009100078,GELATI NINO,13001
31575009100128,GELATI  NINO,13008
31575009100136,GELATI NINO,13016
31575009100169,GELATI NINO,13600
31575009100177,GELATI NINO,13600
31575009100185,GELATI NINO,13400
31575009100193,GELATI NINO,83270
31575009100201,GELATI NINO,13016
31575009100219,GELATI NINO,13008
31575009100227,GELATI NINO,13006
31575009100235,GELATI NINO,13500
31579377800038,LA ROTISSERIE ET PIZZA COMPAGNIE,65000
31587410700065,PIZZERIA 14,29750
31587747200078,L'ARCHANGE,27800
31590286600054,CASA PARDAL,66440
31592822600044,LE GLACIER DU MUMINI,66400
31597774400079,AU COCHON D'OR,76600
31603317400020,LA GALERIE DES GLACES,40240
31603623500034,ALAIN PIZZAS,55140
31607147100064,ESPACE 3000,16100
31607147100080,LE TROPICAL,17570
31607147100098,L'ESTRANDE,17390
31607254500056,LA PAELLA DE GEGE,67115
31609608000023,LA GOULETTE,63000
31612865100056,CHEZ CHOA,83250
31613410500063,LE SAINT GERMAIN,59123
31614240500034,DELICES D'ENVIES,02100
31616271800068,LA MARMOTTE,38520
31619397800053,LE MARRAKECH,29000
31620540000054,LA GITANE,30900
31624455700112,TINO PIZZ,17390
31626007400075,AU PETIT ANE GRIS,85430
31628173200040,LA CABANE A PIZZA,69420
31641367300021,FRITERIE DE LA GARE,59440
31643054500020,LES DUNES,20260
31643463800094,ANNA PIZZ,16190
31646498100091,IDA CAFE,92150
31650161800029,LA CROISSANTERIE,94000
31650161800037,LA CROISSANTERIE,75001
31650161800045,LA CROISSANTERIE,75001
31651393600021,PASTA AZZURA,75003
31656480600024,LE BISTRO DU LAC,37550
31656578700090,LES DELICES DE SAINT JOSEPH,97480
31660106100062,BAR DES SOURCES,09400
31665073800057,MAX FRITES,59264
31665935800055,LA PLATINE CAFE,36130
31666962100062,PIZZAS DE LA BANQUISE,97490
31668822500044,A LA BONNE PIZZA,97425
31669304300085,CAFE AL CAMPANARO,84600
31673451600131,AU PETIT CABANON,43000
31674609800052,LE POURQUOI PAS,22140
31676170900021,SNACK BAR DU ROND POINT,97490
31684553600069,L' AMERICAM DRINK 'S,08300
31689115900071,LE CHALET DU LAC,33125
31689592900040,PRESTO PIZZA I PASTA,33800
31695025200130,SANTA FE,97122
31695572300028,ESCALE GOURMANDE,97290
31695572300036,L'ILE AUX CREPES,97290
31696014500035,TENTATION,52000
31696198600031,LA CREPE TYNIK,29160
31697452600113,SNACK BAR  LES VIGNES,17570
31698481400046,CHEZ FREDO EVELYNE,66000
31698484800036,LE HARICOT PALACE,66150
31699263500052,DE L'AUTRE COTE...,29000
31701527900068,PIZZ ' A MARCO,71460
31705872500043,COTE JARDIN,76600
31709183300036,AU PETIT GOUTER,97490
31709518000053,PIZZA PASTA,42700
31712726400040,MAHANTAN HOT DOG,34300
31714592800048,LA COMEDIE,43000
31715793100054,LE P'TIT DEJ,97110
31729310800054,VERTE CAMPAGNE,75017
31738581300561,MOULIN DES SAVEURS,79000
31739422900023,LA CHENNETTE,79100
31742389500034,LA TABLE D'ESTEVE,13610
31745634100047,O DELICES,04120
31745741400074,DON CAMILLO,46000
31748331100120,LA TALMONTAISE,17120
31752184700051,LA PAILLOTE DU CORSAIRE,59240
31757368100036,EL MEDINA,71130
31758364900072,SNACK LE CHAUCHAMPS,17640
31758582600033,STILL GOOD,75008
31767153500092,O-KEB FRENCH TOUCH,33290
31767153500100,LE PETIT LAMARQUAIS,33460
31769744900088,LE CHALET A PIZZAS,34570
31771242000056,LA PANINA,06400
31773534800037,TOP SELF-DRAGON EXPRESS,97400
31776910700077,LA FRITERIE,61500
31776910700085,LA FRITERIE,61000
31782603000106,PIZZERIA LA CAMBUZE,07400
31786154000050,AU THE JADIS,73100
31790768100058,LA ROTISSERIE RILLOISE,41150
31791617900052,PIZZERIA KAY MARRAINE,97213
31794982400070,LA PERUCHELLE,07530
31795178800023,AUX QUATRE SAISONS,59610
31796165400033,LE BOGOTA,60400
31800760600029,LA CROISSANTERIE,91200
31800760600037,LA CROISSANTERIE,77410
31800760600045,LA CROISSANTERIE,78360
31800760600078,LA CROISSANTERIE,91620
31800760600144,LA CROISSANTERIE,77700
31800760600151,LA CROISSANTERIE,77090
31800760600169,LA CROISSANTERIE,77090
31800760600177,LA CROISSANTERIE,77090
31807413500043,LE TROPIC,34420
31808161900047,JO ET JO,07260
31809754000039,DONA MARTA,97139
31809754000047,DONA VICTORIA,97110
31811681100106,LA PAILLOTTE,17570
31811681100114,MINI SNACK,40600
31812936800128,LE PETIT LEZARD,66300
31818152600068,LA CREVETTE S'AMUSE,49560
31818152600076,LA CREVETTE S'AMUSE,56750
31820224900062,CHEZ EDDY COCO,34210
31821509200020,TONY HARTMANN,68480
31826928900076,LE FLO,34300
31832098300089,AROME KFE,83270
31834172400066,ROTISSERIE LEPRETRE,83440
31834361300077,LE CARASAND',38190
31839934200043,RIQUET CUISINE,81170
31842867900035,LA REMORQUE,80510
31846882400038,CREPERIE DE LA FERME DU PRESSOIR,76230
31847784100049,TONTON SAM,13200
31847784100056,FRESH,13200
31848786500061,L'ANGELE,30000
31849015800199,TARTE JULIE,75016
31849015800207,TARTES ET GALETTES,78100
31854470700025,CHAUD DEVANT,34700
31856694000033,PIZZA GIGI 7/7,87270
31858177400045,LE 5,06400
31860839500063,BORDEAUX PLAGE,33680
31863062100023,CAFETERIA DU COLLEGE,97115
31865184100021,LE MANJADOU,83136
